timestamp,elapsed_s,working_set_mb,private_mb,threads,handles,ws_msgs,gotos
2026-07-28T19:06:03,20,118.25,173.31,44,722,207,5
2026-07-28T19:06:23,40,118.38,173.34,43,722,409,10
2026-07-28T19:06:43,60,118.4,173.4,43,719,610,15
2026-07-28T19:07:03,80,118.98,173.97,43,719,814,20
2026-07-28T19:07:23,100,119.01,173.91,43,719,1017,25
2026-07-28T19:07:43,120,119.07,173.78,43,719,1220,30
2026-07-28T19:08:03,140,118.71,173.54,39,715,1425,35
2026-07-28T19:08:23,160,119.74,174.04,39,715,1630,40
2026-07-28T19:08:43,180,119.02,173.33,39,715,1833,45
2026-07-28T19:09:03,200,119.96,174.33,39,715,2036,50
2026-07-28T19:09:23,220,120.03,174.33,39,715,2238,55
2026-07-28T19:09:43,240,120.03,174.33,39,715,2439,60
2026-07-28T19:10:03,261,120.04,174.33,39,715,2642,65
2026-07-28T19:10:23,281,119.13,173.39,39,715,2844,70
2026-07-28T19:10:43,301,119.37,173.5,40,717,3049,75
2026-07-28T19:11:03,321,119.46,173.68,40,717,3251,80
2026-07-28T19:11:23,341,119.46,173.68,40,717,3453,85
2026-07-28T19:11:43,361,119.47,173.68,40,717,3655,90
2026-07-28T19:12:03,381,119.54,173.75,40,717,3856,94
2026-07-28T19:12:23,401,119.72,173.94,42,727,4059,99
2026-07-28T19:12:43,421,120.77,174.59,41,723,4263,104
2026-07-28T19:13:03,441,119.84,173.59,41,722,4468,109
2026-07-28T19:13:23,461,119.84,173.59,41,722,4671,114
2026-07-28T19:13:43,481,119.85,173.39,39,712,4873,119
2026-07-28T19:14:03,501,119.86,173.39,39,712,5075,124
2026-07-28T19:14:23,521,119.85,173.33,39,712,5277,129
2026-07-28T19:14:43,541,120.79,174.34,39,712,5479,134
2026-07-28T19:15:03,561,119.86,173.33,39,712,5683,139
2026-07-28T19:15:23,581,120.8,174.34,39,712,5887,144
