timestamp,elapsed_s,working_set_mb,private_mb,ws_msgs
2026-07-23T17:12:40,0,37.07,20.34,1
2026-07-23T17:13:10,30,37.26,20.57,302
2026-07-23T17:13:40,60,37.29,20.57,604
2026-07-23T17:14:10,90,37.36,20.57,906
2026-07-23T17:14:40,120,37.38,20.57,1211
2026-07-23T17:15:10,150,37.44,20.54,1514
2026-07-23T17:15:41,180,37.45,20.54,1815
2026-07-23T17:16:11,210,37.51,20.93,2115
2026-07-23T17:16:41,241,37.57,20.93,2418
2026-07-23T17:17:11,271,37.57,20.93,2720
2026-07-23T17:17:41,301,37.87,21.00,3023
2026-07-23T17:18:11,331,37.87,21.00,3321
2026-07-23T17:18:41,361,38.07,21.05,3624
2026-07-23T17:19:11,391,38.16,21.11,3927
2026-07-23T17:19:41,421,38.06,20.98,4231
2026-07-23T17:20:11,451,38.19,21.41,4530
2026-07-23T17:20:41,481,38.23,21.38,4834
2026-07-23T17:21:11,511,38.23,21.38,5138
2026-07-23T17:21:41,541,38.23,21.38,5444
2026-07-23T17:22:11,571,38.23,21.39,5745
